Year,Gallons,Latitude,Longitude,
1965,2100,15.19422,107.6228,
1965,4000,16.28521,106.96993,
1965,4700,16.06382,107.15929,
1965,1500,16.22231,106.93189,
1965,2900,16.41705,106.88044,
1965,3000,15.27769,107.43027,
1965,1100,16.24829,107.05187,
1965,1875,16.05943,106.95835,
1965,2000,16.12254,106.97299,
1965,400,15.94411,107.11318,
1965,1700,15.11942,107.44705,
1965,2000,15.46337,107.38585,
1965,1500,15.97935,107.28914,
1965,1450,14.81439,107.50117,
1966,2000,14.91075,107.52829,
1966,3600,14.81439,107.50117,
1966,2000,15.0994,107.54167,
1966,2000,15.17996,107.52682,
1966,3600,15.10398,107.45432,
1966,2000,16.09396,107.21569,
1966,4000,16.10762,107.29061,
1966,4000,15.9266,106.74786,
1966,2000,16.29238,106.66124,
1966,4000,16.30753,106.49829,
1966,1800,15.92853,106.732,
1966,3600,16.44186,106.49208,
1966,1600,16.28521,106.96993,
1966,2000,16.29238,106.66124,
1966,2000,16.13285,106.93289,
1966,1850,16.2348,107.04518,
1966,1900,15.9203,106.74501,
1966,1900,15.9203,106.74501,
1966,1800,16.4491,106.49026,
1966,1000,14.74995,107.2674,
1966,2000,16.49159,106.48871,
1966,2000,16.39753,106.49829,
1966,2450,15.09704,107.51003,
1966,1600,15.23164,107.06682,
1966,850,15.35569,107.03917,
1966,2000,16.22231,106.93189,
1966,2000,15.1839,107.65615,
1966,4000,16.54969,106.45074,
1966,2000,16.39753,106.49829,
1966,2100,16.4682,106.01645,
1966,2000,14.97122,107.45094,
1966,2000,15.1839,107.65615,
1966,2000,16.29238,106.66124,
1966,6000,16.2973,106.60982,
1966,4000,15.75328,106.83409,
1966,2000,15.34454,107.07258,
1966,5000,16.29238,106.66124,
1966,2000,15.34194,107.06045,
1966,2500,15.4557,106.9712,
1966,2000,15.4312,106.98308,
1966,3850,15.33439,107.18887,
1966,1000,15.33715,107.18424,
1966,1000,15.39647,107.02653,
1966,2000,16.63297,106.43262,
1966,2000,16.29264,106.6285,
1966,2000,16.29285,106.60043,
1966,6000,16.29264,106.6285,
1966,3000,15.41134,106.9801,
1966,2800,15.92301,106.74503,
1966,3000,16.12032,106.70655,
1966,2000,14.75311,107.48654,
1966,1650,15.80302,106.82987,
1966,4650,15.68952,106.89415,
1966,3000,15.57965,106.95373,
1966,3000,16.29686,106.66596,
1966,3000,16.2561,106.67871,
1966,2800,16.27707,106.87162,
1966,2800,16.25702,106.89107,
1966,2000,14.75299,107.49768,
1966,3000,14.75512,107.468,
1966,2100,14.75091,107.3519,
1966,4500,14.68707,107.32151,
1966,3000,15.84334,106.76208,
1966,2000,14.95211,107.19795,
1966,2000,14.9521,107.19888,
1966,2000,15.84334,106.76208,
1966,2000,16.30575,106.56684,
1966,1150,16.23901,106.88342,
1966,3000,16.32382,106.56792,
1966,1800,15.58109,106.89315,
1966,2000,17.20417,106.14263,
1966,2000,16.94282,105.99737,
1966,2000,17.27804,106.18353,
1966,3000,16.65118,106.11586,
1966,2000,15.3265,107.06961,
1966,2000,16.65208,106.11586,
1966,2000,15.13491,107.07239,
1966,2000,16.65208,106.11586,
1966,2000,14.95305,107.19424,
1966,2000,17.07379,106.01497,
1966,2000,17.04962,105.96786,
1966,2000,16.54671,106.49007,
1966,2000,17.20417,106.14263,
1966,2000,17.27804,106.18353,
1966,2000,17.30321,106.20533,
1966,2000,14.71663,107.06189,
1966,1700,14.71498,106.93932,
1966,2000,14.6452,106.73449,
1966,2000,14.65821,106.80607,
1966,2000,17.11428,106.05091,
1966,2000,16.43916,106.49018,
1966,2000,14.73026,107.2477,
1966,1800,14.57726,106.75623,
1966,2000,14.72015,106.96907,
1966,2000,17.14403,106.06518,
1966,1900,14.7329,107.25516,
1966,2000,16.58914,106.2186,
1966,2000,17.14856,106.06332,
